,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
2133,5XE72NSAEX,2024-10-08 16:08:57.528015+00:00,Hampton Inn Springhill,1344 Commercial Way,,Springhill,FL,34606,Applicant Accepted,2024-10-30,2024-11-29,7.00
2134,5XE72NSAEX,2024-10-08 16:08:57.528015+00:00,Hampton Inn Springhill,1344 Commercial Way,,Spring Hill,FL,34606,Applicant Accepted,2024-10-30,2024-11-29,7.00
2150,9TPR6UE2D7,2024-10-08 16:57:08.607726+00:00,Johns Pass Hotel,2854 Johns Wy,,St Pete Beach,FL,33708,Booked,2024-10-25,2024-11-21,1.00
2167,47U83HZVLJ,2024-10-08 17:28:26.071638+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-21,2024-11-20,1.00
2179,R4JNQE86TA,2024-10-08 18:13:25.461161+00:00,Legacy Vacation Resorts - Indian Shores,"19607 Gulf Blvd, Indian Shores, FL 33785",,Gulf Shores,FL,33785,Booked,2024-10-24,2024-11-23,1.00
2190,Q9FKV3EA4J,2024-10-08 18:30:18.598075+00:00,Residence Inn St. Petersburg Treasure Island,11908 Gulf Blvd,,Treasure Island,FL,33706,Booked,2024-10-21,2024-11-19,4.00
2191,QDYPGYJHL9,2024-10-08 18:33:04.461921+00:00,Days Inn & Suites,10826 US Highway 19,,Port Richey,FL,34668,Booked,2024-10-20,2024-11-19,2.00
2192,NRC5UZBAUW,2024-10-08 18:33:27.841200+00:00,Comfort Inn & Suites New Port Richey Downtown District,6206 US HWY 19,,NEW PORT RICHEY,FL,34652,Booked,2024-10-22,2024-11-21,2.00
2196,8K7FXNZMKP,2024-10-08 18:38:31.736262+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-19,2024-11-18,4.00
2214,6BTC7PXA8D,2024-10-08 19:22:59.103712+00:00,Sure Stay Hotel By Best Western,3655 Hospitality Lane,,Clearwater,FL,33762,Moved Out,2024-10-25,2024-10-29,2.00
2215,6BTC7PXA8D,2024-10-08 19:22:59.103712+00:00,Holiday Inn,3535 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-29,2024-11-28,2.00
2227,S4UV3ZQHE2,2024-10-08 20:01:46.143871+00:00,LaQuinta Inn by Wyndham Tampa Bay Pinellas Park Clearwater,7500 Highway 19 N,,Pinellas Park,FL,33781,Booked,2024-10-30,2024-11-29,2.00
2232,48XX25C2WL,2024-10-08 20:14:32.869018+00:00,Hampton Inn and Suites,11780 SR 54,,Trinity,FL,33556,Booked,2024-10-21,2024-11-20,1.00
2240,AYH8Y8S9NY,2024-10-08 20:34:57.989629+00:00,Harbourside Marker 33,"2nd St 399, 4413",,Indian Rocks Beach,FL,33785,Moved Out,2024-10-26,2024-10-27,3.00
2241,AYH8Y8S9NY,2024-10-08 20:34:57.989629+00:00,Hotel Zamora,"3701 Gulf Blvd,",,St Petersburg,FL,33706,Booked,2024-10-27,2024-11-26,3.00
2244,7FTVVN7UZG,2024-10-08 20:44:26.360871+00:00,Holiday Inn,3535 Ulmerton Rd.,,Clearwater,FL,33762,Rejected,,,2.00
2263,9L57ZDATSG,2024-10-08 21:13:22.551185+00:00,Hampton Inn & Suites Clearwater/St. Petersburg-Ulmerton Road,4050 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-11-02,2024-12-02,2.00
2265,GHVAUTZ72F,2024-10-08 21:16:26.515487+00:00,"Holiday Inn Express & Suites St. Petersburg - Madeira Beach, an IHG Hotel","4816 100th Way North Madeira Beach, FL, US, 33708",,Madeira Beach,FL,33708,Booked,2024-11-04,2024-12-03,1.00
2284,G5PMQ63DG7,2024-10-08 21:39:19.716243+00:00,Holiday Inn Express Clearwater East,13625 Icot Blvd,,Clearwater,FL,33760,Booked,2024-10-26,2024-11-25,3.00
2292,QYSWDJ4H3U,2024-10-08 21:49:26.129859+00:00,Hampton Inn and Suites,"11780 SR 54 Trinity, FL, US, 33556",,Trinity,FL,33556,Booked,2024-10-24,2024-11-24,1.00
2297,6HKN2H3WWH,2024-10-08 21:55:06.596802+00:00,Homewood Suites by Hilton Tampa - Port Richey,11115 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-31,2024-11-30,3.00
2303,KPQVHBUMHN,2024-10-08 22:01:46.050635+00:00,Holiday Inn Express,226 Teco Road,,Ruskin,FL,33570,Booked,2024-11-01,2024-10-30,7.00
2324,NSVCH4AUQB,2024-10-08 22:23:04.992272+00:00,Hampton Inn & Suites Ruskin I-75,711 33rd Street Southeast,,Ruskin,FL,33570,Booked,2024-11-10,2024-12-10,2.00
2326,YES7R2XUDE,2024-10-08 22:23:53.584129+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Moved Out,2024-10-18,2024-10-20,1.00
2327,YES7R2XUDE,2024-10-08 22:23:53.584129+00:00,Homewood Suites Hotels Port Richey,11115 US Highway 19,,Port Richey,FL,34668,Booked,2024-10-22,2024-11-21,1.00
2343,Z3H2G7KGRL,2024-10-08 22:42:35.937890+00:00,"Holiday Inn Express Crystal River, an IHG Hotel",1203 Ne 5th St,,Crystal River,FL,34429,Booked,2024-10-26,2024-11-24,3.00
2355,5NGCPPJX77,2024-10-08 22:59:13.317706+00:00,Quality Inn & Suites at Tropicana Field,1400 34th St N,,St. Petersburg,FL,33713,Booked,2024-10-22,2024-11-21,4.00
2398,5XGRRB5N7P,2024-10-09 00:25:56.014255+00:00,Hampton inn & suites,975 University Pkwy,,Sarasota,FL,34243,Booked,2024-11-04,2024-12-03,1.00
2414,5EPA3GRGQG,2024-10-09 01:29:20.892470+00:00,Days Inn by Wyndham St. Petersburg / Tampa Bay Area,5005 34th Street,,North St Petersburg,FL,33714,Moved Out,2024-10-19,2024-10-19,2.00
2435,BT9BSAZAZU,2024-10-09 12:50:11.082391+00:00,TownePoint Suites by Marriott Tampa Clearwater,21090 US Highway 19,,North Clearwater,FL,33765,Rejected,2024-11-01,2024-12-01,2.00
2453,Y8MVLUZC47,2024-10-09 13:31:12.858644+00:00,Homewood Suites by Hilton Tampa - Port Richey,11115 Us Highway 19,,Port Richey,FL,34668,Booked,2024-11-11,2024-12-11,1.00
2454,Y8MVLUZC47,2024-10-09 13:31:12.858644+00:00,Comfort Inn & Suites,6206 US HWY 19,,New Port Richey,FL,34652,Booked,2024-10-21,2024-11-11,1.00
2472,MSYJWRBMJ4,2024-10-09 13:47:33.107772+00:00,Residence Inn Suncoast Parkway at Northpointe,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,,4.00
2480,5R994RLLX5,2024-10-09 14:01:10.564649+00:00,Hyatt Place Tampa Airport/Westshore,"4811 W Main St Tampa, FL, US, 33607",,"Tampa, FL, US, 33607",FL,33608,Booked,2024-10-22,2024-11-21,2.00
2488,JBMRS7PA3J,2024-10-09 14:18:10.022023+00:00,Hampton Inn and Suites Port Richey,"11050 Us Highway 19 Port Richey, FL, US, 34668",,Port Richey,FL,34668,Booked,2024-10-22,2024-11-21,2.00
2522,RZZXLB6Q85,2024-10-09 15:15:31.845172+00:00,"Holiday Inn Express & Suites St. Petersburg - Madeira Beach, an IHG Hotel",4816 100th Way,,North Madeira Beach,FL,33708,Booked,2024-10-27,2024-11-26,2.00
2525,34WU8PLM2K,2024-10-09 15:20:17.839750+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-21,2024-11-21,2.00
2535,2CWQMFF7XM,2024-10-09 15:48:38.976234+00:00,Holiday Inn Express Venice,380 Commercial St,,Venice,FL,34292,Booked,2024-10-26,2024-11-25,2.00
2539,GFW86S4GMJ,2024-10-09 15:55:16.925945+00:00,"Sleep Inn & Suites Tampa South, part of Sleep Inn",6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-22,2024-11-21,1.00
2561,PRL94W5YBP,2024-10-09 16:27:37.368384+00:00,Residence Inn by Marriott,4012 Tampa rd,,Oldsmar,FL,34677,Booked,2024-10-28,2024-11-27,4.00
2576,VW55RCLFGP,2024-10-09 17:03:06.124767+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,Port Richey,FL,34668,Applicant Accepted,2024-10-26,2024-11-25,2.00
2583,46EQN9R27T,2024-10-09 17:20:06.739369+00:00,Quality Inn & Suites Live Oak,6819 Us Highway 129,,Live Oak,FL,32060,Booked,2024-10-17,2024-11-15,5.00
2599,PA4JN4LMWA,2024-10-09 17:53:11.481013+00:00,"Holiday Inn Express & Suites Tampa East - Ybor City, an IHG Hotel",2520 N 50th St,,Tampa,FL,33619,Booked,2024-10-31,2024-11-30,5.00
2600,PA4JN4LMWA,2024-10-09 17:53:11.481013+00:00,"Holiday Inn Express & Suites Tampa East - Ybor City, an IHG Hotel",2520 N 50th St,,Tampa,FL,33619,Booked,2024-10-31,2024-11-30,5.00
2604,952ZYALMBE,2024-10-09 18:05:48.414542+00:00,Aloft Tampa midtown,3650 Midtown Drive,,Tampa,FL,33607,Booked,2024-10-30,2024-11-29,1.00
2614,P3YPVLSYWH,2024-10-09 18:34:37.901943+00:00,Comfort Inn & Suites Northeast - Gateway,875 94th Avenue,,North St. Petersburg,FL,33702,Booked,2024-11-01,2024-12-01,3.00
2619,Q8ZU7CQN63,2024-10-09 19:13:09.565792+00:00,Home2 Suites by Hilton Largo,10145 Ulmerton Road,,Largo,FL,33771,Booked,2024-11-01,2024-12-01,3.00
2634,DE485N9MJB,2024-10-09 20:00:52.062085+00:00,Towneplace Suites Tampa Clearwater,21090 US Highway 19,,North Clearwater,FL,33765,Rejected,2024-11-01,2024-12-01,5.00
2665,4N58Y95P3C,2024-10-09 20:25:16.687079+00:00,Quality Inn & Suites Tarpon Springs South,38724 US Highway 19,,Palm Harbor,FL,34689,Booked,2024-10-25,2024-11-24,2.00
2678,B8XFPYC97T,2024-10-09 20:49:34.902574+00:00,Quality Inn,"1125 North Young Boulevard Chiefland, FL, US, 32626",,Cheifland,FL,32626,Booked,2024-11-19,2024-12-19,2.00
2692,NR7AWCT69C,2024-10-09 21:20:15.507845+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-19,2024-11-18,2.00
2694,R3B5R5XVUM,2024-10-09 21:25:24.648889+00:00,Extended Stay America Suites St Petersburg Clearwater ExecDr,3089 Executive Dr,,Clearwater,FL,33762,Booked,2024-10-24,2024-11-23,2.00
2714,LFEN4YQRQK,2024-10-09 21:58:47.163947+00:00,Hampton Inn and Suites,"4050 Ulmerton Rd, Clearwater, FL 33762",,Clearwater,FL,33762,Booked,2024-10-25,2024-11-24,2.00
2725,YSP8E3ESSQ,2024-10-09 22:11:47.561548+00:00,Holiday Inn St. Petersburg,1200 34th Street North,,St. Petersburg,FL,33713,Booked,2024-10-20,2024-11-19,2.00
2730,SELJ6HTD7L,2024-10-09 22:24:59.161354+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-11-02,2024-12-02,2.00
2828,R8L4WWU6CE,2024-10-10 13:41:09.800164+00:00,"Days Inn by Wyndham Madison, part of Days Inn by Wyndham",6160 South State Road 53,,Madison,FL,32340,Booked,2024-10-22,2024-11-21,2.00
2850,HSTE7AXGCR,2024-10-10 14:31:24.592266+00:00,La Quinta Inn & Suites by Wyndham USF (Near Bush Gardens),3701 E Fowler Ave,,Tampa,FL,33612,Booked,2024-10-15,2024-11-14,4.00
2865,QD9YUR5BFF,2024-10-10 14:55:45.855252+00:00,Baymont by Wyndham Sarasota,1425 S Tamiami Trl,,Sarasota,FL,34239,Booked,2024-10-19,2024-11-18,4.00
2866,QD9YUR5BFF,2024-10-10 14:55:45.855252+00:00,Baymont by Wyndham Sarasota,1425 S Tamiami Trl,,Sarasota,FL,34239,Booked,2024-10-19,2024-11-18,4.00
2868,J3KBJLUPQU,2024-10-10 15:09:32.834150+00:00,La Quinta Inn by Wyndham Tampa Near Busch Gardens,"9202 N 30th St, Tampa, FL, 33612",,Tampa,FL,33612,Booked,2024-10-22,2024-11-20,5.00
2888,X2FCC9MFB5,2024-10-10 15:31:59.852071+00:00,Rodeway Inn,11810 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-15,2024-11-14,4.00
2905,3DNM3KMCMB,2024-10-10 15:59:36.598261+00:00,Hampton Inn and Suites Port Richey,"11050 Us Highway 19 Port Richey,","FL, US, 34668",,FL,34668,Booked,2024-11-02,2024-12-01,2.00
2911,FQSFUT54MP,2024-10-10 16:17:25.763271+00:00,Hampton Inn & Suites Tarpon Springs,39284 Us Highway 19,,North Tarpon Springs,FL,34689,Booked,2024-10-27,2024-11-26,5.00
2912,FQSFUT54MP,2024-10-10 16:17:25.763271+00:00,Hampton Inn & Suites Tarpon Springs,39284 Us Highway 19,,North Tarpon Springs,FL,34689,Booked,2024-10-27,2024-11-26,5.00
